,MVP - 1.5X Points,Flex_1,Flex_2,Flex_3,Flex_4,Salary,original index,MVP_ManFPPG,Flex1_ManFPPG,Flex2_ManFPPG,Flex3_ManFPPG,Flex4_ManFPPG,MVP_ManHi,Flex1_ManHi,Flex2_ManHi,Flex3_ManHi,Flex4_ManHi,MVP_ManLo,Flex1_ManLo,Flex2_ManLo,Flex3_ManLo,Flex4_ManLo,Total_ManFPPG,Total_ManHi,Total_ManLo
0,41200-31716:Dak Prescott,41200-38791:Ezekiel Elliott,41200-31001:Amari Cooper,41200-69956:Michael Gallup,41200-104421:Jesper Horsted,60000,2630,34.090000155,16.25833384,14.25833384,12.20999985,4.599999905,34.090000155,16.25833384,14.25833384,12.20999985,4.599999905,34.090000155,16.25833384,14.25833384,12.20999985,4.599999905,81.41666759,81.41666759,81.41666759
1,41200-31716:Dak Prescott,41200-38791:Ezekiel Elliott,41200-69956:Michael Gallup,41200-14257:Randall Cobb,41200-79974:Tarik Cohen,59500,3205,34.090000155,16.25833384,12.20999985,9.227272727,7.549999872999999,34.090000155,16.25833384,12.20999985,9.227272727,7.549999872999999,34.090000155,16.25833384,12.20999985,9.227272727,7.549999872999999,79.33560644500001,79.33560644500001,79.33560644500001
2,41200-31716:Dak Prescott,41200-38791:Ezekiel Elliott,41200-31001:Amari Cooper,41200-79974:Tarik Cohen,41200-6641:Jason Witten,60000,2685,34.090000155,16.25833384,14.25833384,7.549999872999999,6.983333588,34.090000155,16.25833384,14.25833384,7.549999872999999,6.983333588,34.090000155,16.25833384,14.25833384,7.549999872999999,6.983333588,79.140001296,79.140001296,79.140001296
3,41200-31716:Dak Prescott,41200-38791:Ezekiel Elliott,41200-31001:Amari Cooper,41200-69956:Michael Gallup,41200-30733:Cordarrelle Patterson,59500,2635,34.090000155,16.25833384,14.25833384,12.20999985,1.9727273419999998,34.090000155,16.25833384,14.25833384,12.20999985,1.9727273419999998,34.090000155,16.25833384,14.25833384,12.20999985,1.9727273419999998,78.789395027,78.789395027,78.789395027
4,41200-31716:Dak Prescott,41200-38791:Ezekiel Elliott,41200-31001:Amari Cooper,41200-14257:Randall Cobb,41200-104421:Jesper Horsted,58500,2675,34.090000155,16.25833384,14.25833384,9.227272727,4.599999905,34.090000155,16.25833384,14.25833384,9.227272727,4.599999905,34.090000155,16.25833384,14.25833384,9.227272727,4.599999905,78.433940467,78.433940467,78.433940467
5,41200-31716:Dak Prescott,41200-38791:Ezekiel Elliott,41200-69956:Michael Gallup,41200-27292:Brett Maher,41200-79974:Tarik Cohen,59500,3185,34.090000155,16.25833384,12.20999985,8.25,7.549999872999999,34.090000155,16.25833384,12.20999985,8.25,7.549999872999999,34.090000155,16.25833384,12.20999985,8.25,7.549999872999999,78.358333718,78.358333718,78.358333718
6,41200-31716:Dak Prescott,41200-31001:Amari Cooper,41200-73273:David Montgomery,41200-69956:Michael Gallup,41200-79974:Tarik Cohen,60000,6375,34.090000155,14.25833384,10.18333308,12.20999985,7.549999872999999,34.090000155,14.25833384,10.18333308,12.20999985,7.549999872999999,34.090000155,14.25833384,10.18333308,12.20999985,7.549999872999999,78.29166679800001,78.29166679800001,78.29166679800001
7,41200-31716:Dak Prescott,41200-28643:Allen Robinson II,41200-31001:Amari Cooper,41200-69956:Michael Gallup,41200-27527:Blake Jarwin,60000,4300,34.090000155,12.54166667,14.25833384,12.20999985,5.00909077,34.090000155,12.54166667,14.25833384,12.20999985,5.00909077,34.090000155,12.54166667,14.25833384,12.20999985,5.00909077,78.10909128499999,78.10909128499999,78.10909128499999
8,41200-31716:Dak Prescott,41200-38791:Ezekiel Elliott,41200-69956:Michael Gallup,41200-14257:Randall Cobb,41200-69307:Eddy Pineiro,59000,3210,34.090000155,16.25833384,12.20999985,9.227272727,6.0,34.090000155,16.25833384,12.20999985,9.227272727,6.0,34.090000155,16.25833384,12.20999985,9.227272727,6.0,77.785606572,77.785606572,77.785606572
9,41200-31716:Dak Prescott,41200-38791:Ezekiel Elliott,41200-73273:David Montgomery,41200-69956:Michael Gallup,41200-63759:Tony Pollard,59500,2810,34.090000155,16.25833384,10.18333308,12.20999985,5.036363775,34.090000155,16.25833384,10.18333308,12.20999985,5.036363775,34.090000155,16.25833384,10.18333308,12.20999985,5.036363775,77.7780307,77.7780307,77.7780307
10,41200-31716:Dak Prescott,41200-38791:Ezekiel Elliott,41200-73273:David Montgomery,41200-69956:Michael Gallup,41200-27527:Blake Jarwin,59000,2815,34.090000155,16.25833384,10.18333308,12.20999985,5.00909077,34.090000155,16.25833384,10.18333308,12.20999985,5.00909077,34.090000155,16.25833384,10.18333308,12.20999985,5.00909077,77.750757695,77.750757695,77.750757695
11,41200-31716:Dak Prescott,41200-31001:Amari Cooper,41200-73273:David Montgomery,41200-69956:Michael Gallup,41200-6641:Jason Witten,59000,6385,34.090000155,14.25833384,10.18333308,12.20999985,6.983333588,34.090000155,14.25833384,10.18333308,12.20999985,6.983333588,34.090000155,14.25833384,10.18333308,12.20999985,6.983333588,77.725000513,77.725000513,77.725000513
12,41200-31716:Dak Prescott,41200-28643:Allen Robinson II,41200-31001:Amari Cooper,41200-69956:Michael Gallup,41200-104421:Jesper Horsted,59500,4305,34.090000155,12.54166667,14.25833384,12.20999985,4.599999905,34.090000155,12.54166667,14.25833384,12.20999985,4.599999905,34.090000155,12.54166667,14.25833384,12.20999985,4.599999905,77.70000042,77.70000042,77.70000042
13,41200-31716:Dak Prescott,41200-38791:Ezekiel Elliott,41200-31001:Amari Cooper,41200-69307:Eddy Pineiro,41200-6641:Jason Witten,59500,2720,34.090000155,16.25833384,14.25833384,6.0,6.983333588,34.090000155,16.25833384,14.25833384,6.0,6.983333588,34.090000155,16.25833384,14.25833384,6.0,6.983333588,77.59000142299999,77.59000142299999,77.59000142299999
14,41200-31716:Dak Prescott,41200-38791:Ezekiel Elliott,41200-31001:Amari Cooper,41200-27292:Brett Maher,41200-104421:Jesper Horsted,58500,2665,34.090000155,16.25833384,14.25833384,8.25,4.599999905,34.090000155,16.25833384,14.25833384,8.25,4.599999905,34.090000155,16.25833384,14.25833384,8.25,4.599999905,77.45666774,77.45666774,77.45666774
15,41200-31716:Dak Prescott,41200-38791:Ezekiel Elliott,41200-31001:Amari Cooper,41200-73273:David Montgomery,41200-26458:Tavon Austin,60000,2620,34.090000155,16.25833384,14.25833384,10.18333308,2.660000038,34.090000155,16.25833384,14.25833384,10.18333308,2.660000038,34.090000155,16.25833384,14.25833384,10.18333308,2.660000038,77.450000953,77.450000953,77.450000953
16,41200-31716:Dak Prescott,41200-38791:Ezekiel Elliott,41200-73273:David Montgomery,41200-69956:Michael Gallup,41200-104421:Jesper Horsted,58500,2820,34.090000155,16.25833384,10.18333308,12.20999985,4.599999905,34.090000155,16.25833384,10.18333308,12.20999985,4.599999905,34.090000155,16.25833384,10.18333308,12.20999985,4.599999905,77.34166683000001,77.34166683000001,77.34166683000001
17,41200-31716:Dak Prescott,41200-31001:Amari Cooper,41200-69956:Michael Gallup,41200-14257:Randall Cobb,41200-79974:Tarik Cohen,58000,6825,34.090000155,14.25833384,12.20999985,9.227272727,7.549999872999999,34.090000155,14.25833384,12.20999985,9.227272727,7.549999872999999,34.090000155,14.25833384,12.20999985,9.227272727,7.549999872999999,77.33560644500001,77.33560644500001,77.33560644500001
18,41200-31716:Dak Prescott,41200-38791:Ezekiel Elliott,41200-73273:David Montgomery,41200-14257:Randall Cobb,41200-79974:Tarik Cohen,60000,2920,34.090000155,16.25833384,10.18333308,9.227272727,7.549999872999999,34.090000155,16.25833384,10.18333308,9.227272727,7.549999872999999,34.090000155,16.25833384,10.18333308,9.227272727,7.549999872999999,77.308939675,77.308939675,77.308939675
19,41200-31716:Dak Prescott,41200-38791:Ezekiel Elliott,41200-31001:Amari Cooper,41200-79974:Tarik Cohen,41200-63759:Tony Pollard,59000,2690,34.090000155,16.25833384,14.25833384,7.549999872999999,5.036363775,34.090000155,16.25833384,14.25833384,7.549999872999999,5.036363775,34.090000155,16.25833384,14.25833384,7.549999872999999,5.036363775,77.193031483,77.193031483,77.193031483
20,41200-31716:Dak Prescott,41200-38791:Ezekiel Elliott,41200-31001:Amari Cooper,41200-79974:Tarik Cohen,41200-27527:Blake Jarwin,58500,2695,34.090000155,16.25833384,14.25833384,7.549999872999999,5.00909077,34.090000155,16.25833384,14.25833384,7.549999872999999,5.00909077,34.090000155,16.25833384,14.25833384,7.549999872999999,5.00909077,77.165758478,77.165758478,77.165758478
21,41200-31716:Dak Prescott,41200-38791:Ezekiel Elliott,41200-28643:Allen Robinson II,41200-14257:Randall Cobb,41200-27527:Blake Jarwin,60000,2425,34.090000155,16.25833384,12.54166667,9.227272727,5.00909077,34.090000155,16.25833384,12.54166667,9.227272727,5.00909077,34.090000155,16.25833384,12.54166667,9.227272727,5.00909077,77.126364162,77.126364162,77.126364162
22,41200-31716:Dak Prescott,41200-28643:Allen Robinson II,41200-31001:Amari Cooper,41200-14257:Randall Cobb,41200-6641:Jason Witten,60000,4390,34.090000155,12.54166667,14.25833384,9.227272727,6.983333588,34.090000155,12.54166667,14.25833384,9.227272727,6.983333588,34.090000155,12.54166667,14.25833384,9.227272727,6.983333588,77.10060698,77.10060698,77.10060698
23,41200-31716:Dak Prescott,41200-38791:Ezekiel Elliott,41200-69956:Michael Gallup,41200-79974:Tarik Cohen,41200-6641:Jason Witten,58000,3230,34.090000155,16.25833384,12.20999985,7.549999872999999,6.983333588,34.090000155,16.25833384,12.20999985,7.549999872999999,6.983333588,34.090000155,16.25833384,12.20999985,7.549999872999999,6.983333588,77.09166730599999,77.09166730599999,77.09166730599999
24,41200-38628:Mitchell Trubisky,41200-31716:Dak Prescott,41200-31001:Amari Cooper,41200-69956:Michael Gallup,41200-26458:Tavon Austin,60000,396,20.02363587,22.72666677,14.25833384,12.20999985,2.660000038,20.02363587,22.72666677,14.25833384,12.20999985,2.660000038,20.02363587,22.72666677,14.25833384,12.20999985,2.660000038,71.878636368,71.878636368,71.878636368
25,41200-38628:Mitchell Trubisky,41200-31716:Dak Prescott,41200-69956:Michael Gallup,41200-14257:Randall Cobb,41200-79974:Tarik Cohen,60000,1056,20.02363587,22.72666677,12.20999985,9.227272727,7.549999872999999,20.02363587,22.72666677,12.20999985,9.227272727,7.549999872999999,20.02363587,22.72666677,12.20999985,9.227272727,7.549999872999999,71.73757509,71.73757509,71.73757509
26,41200-38628:Mitchell Trubisky,41200-31716:Dak Prescott,41200-31001:Amari Cooper,41200-14257:Randall Cobb,41200-63759:Tony Pollard,60000,456,20.02363587,22.72666677,14.25833384,9.227272727,5.036363775,20.02363587,22.72666677,14.25833384,9.227272727,5.036363775,20.02363587,22.72666677,14.25833384,9.227272727,5.036363775,71.272272982,71.272272982,71.272272982
27,41200-38628:Mitchell Trubisky,41200-31716:Dak Prescott,41200-31001:Amari Cooper,41200-14257:Randall Cobb,41200-27527:Blake Jarwin,59500,461,20.02363587,22.72666677,14.25833384,9.227272727,5.00909077,20.02363587,22.72666677,14.25833384,9.227272727,5.00909077,20.02363587,22.72666677,14.25833384,9.227272727,5.00909077,71.244999977,71.244999977,71.244999977
28,41200-38628:Mitchell Trubisky,41200-31716:Dak Prescott,41200-31001:Amari Cooper,41200-69956:Michael Gallup,41200-30733:Cordarrelle Patterson,60000,391,20.02363587,22.72666677,14.25833384,12.20999985,1.9727273419999998,20.02363587,22.72666677,14.25833384,12.20999985,1.9727273419999998,20.02363587,22.72666677,14.25833384,12.20999985,1.9727273419999998,71.191363672,71.191363672,71.191363672
29,41200-38628:Mitchell Trubisky,41200-31716:Dak Prescott,41200-69956:Michael Gallup,41200-14257:Randall Cobb,41200-6641:Jason Witten,59000,1066,20.02363587,22.72666677,12.20999985,9.227272727,6.983333588,20.02363587,22.72666677,12.20999985,9.227272727,6.983333588,20.02363587,22.72666677,12.20999985,9.227272727,6.983333588,71.170908805,71.170908805,71.170908805
30,41200-38628:Mitchell Trubisky,41200-31716:Dak Prescott,41200-38791:Ezekiel Elliott,41200-79974:Tarik Cohen,41200-104421:Jesper Horsted,60000,31,20.02363587,22.72666677,16.25833384,7.549999872999999,4.599999905,20.02363587,22.72666677,16.25833384,7.549999872999999,4.599999905,20.02363587,22.72666677,16.25833384,7.549999872999999,4.599999905,71.158636258,71.158636258,71.158636258
31,41200-38628:Mitchell Trubisky,41200-31716:Dak Prescott,41200-38791:Ezekiel Elliott,41200-6641:Jason Witten,41200-63759:Tony Pollard,60000,76,20.02363587,22.72666677,16.25833384,6.983333588,5.036363775,20.02363587,22.72666677,16.25833384,6.983333588,5.036363775,20.02363587,22.72666677,16.25833384,6.983333588,5.036363775,71.028333843,71.028333843,71.028333843
32,41200-38628:Mitchell Trubisky,41200-31716:Dak Prescott,41200-38791:Ezekiel Elliott,41200-6641:Jason Witten,41200-27527:Blake Jarwin,59500,81,20.02363587,22.72666677,16.25833384,6.983333588,5.00909077,20.02363587,22.72666677,16.25833384,6.983333588,5.00909077,20.02363587,22.72666677,16.25833384,6.983333588,5.00909077,71.001060838,71.001060838,71.001060838
33,41200-38628:Mitchell Trubisky,41200-31716:Dak Prescott,41200-38791:Ezekiel Elliott,41200-14257:Randall Cobb,41200-26458:Tavon Austin,60000,21,20.02363587,22.72666677,16.25833384,9.227272727,2.660000038,20.02363587,22.72666677,16.25833384,9.227272727,2.660000038,20.02363587,22.72666677,16.25833384,9.227272727,2.660000038,70.89590924500001,70.89590924500001,70.89590924500001
34,41200-38628:Mitchell Trubisky,41200-31716:Dak Prescott,41200-31001:Amari Cooper,41200-14257:Randall Cobb,41200-104421:Jesper Horsted,59000,466,20.02363587,22.72666677,14.25833384,9.227272727,4.599999905,20.02363587,22.72666677,14.25833384,9.227272727,4.599999905,20.02363587,22.72666677,14.25833384,9.227272727,4.599999905,70.83590911200001,70.83590911200001,70.83590911200001
35,41200-38628:Mitchell Trubisky,41200-31716:Dak Prescott,41200-69956:Michael Gallup,41200-27292:Brett Maher,41200-79974:Tarik Cohen,60000,1011,20.02363587,22.72666677,12.20999985,8.25,7.549999872999999,20.02363587,22.72666677,12.20999985,8.25,7.549999872999999,20.02363587,22.72666677,12.20999985,8.25,7.549999872999999,70.76030236300001,70.76030236300001,70.76030236300001
36,41200-38628:Mitchell Trubisky,41200-31716:Dak Prescott,41200-38791:Ezekiel Elliott,41200-6641:Jason Witten,41200-104421:Jesper Horsted,59000,86,20.02363587,22.72666677,16.25833384,6.983333588,4.599999905,20.02363587,22.72666677,16.25833384,6.983333588,4.599999905,20.02363587,22.72666677,16.25833384,6.983333588,4.599999905,70.591969973,70.591969973,70.591969973
37,41200-38628:Mitchell Trubisky,41200-31716:Dak Prescott,41200-31001:Amari Cooper,41200-27292:Brett Maher,41200-63759:Tony Pollard,60000,426,20.02363587,22.72666677,14.25833384,8.25,5.036363775,20.02363587,22.72666677,14.25833384,8.25,5.036363775,20.02363587,22.72666677,14.25833384,8.25,5.036363775,70.295000255,70.295000255,70.295000255
38,41200-38628:Mitchell Trubisky,41200-31716:Dak Prescott,41200-31001:Amari Cooper,41200-27292:Brett Maher,41200-27527:Blake Jarwin,59500,431,20.02363587,22.72666677,14.25833384,8.25,5.00909077,20.02363587,22.72666677,14.25833384,8.25,5.00909077,20.02363587,22.72666677,14.25833384,8.25,5.00909077,70.26772725000001,70.26772725000001,70.26772725000001
39,41200-38791:Ezekiel Elliott,41200-31716:Dak Prescott,41200-31001:Amari Cooper,41200-69956:Michael Gallup,41200-104421:Jesper Horsted,60000,2631,24.387500759999998,22.72666677,14.25833384,12.20999985,4.599999905,24.387500759999998,22.72666677,14.25833384,12.20999985,4.599999905,24.387500759999998,22.72666677,14.25833384,12.20999985,4.599999905,78.182501125,78.182501125,78.182501125
40,41200-38791:Ezekiel Elliott,41200-31716:Dak Prescott,41200-69956:Michael Gallup,41200-14257:Randall Cobb,41200-79974:Tarik Cohen,59500,3206,24.387500759999998,22.72666677,12.20999985,9.227272727,7.549999872999999,24.387500759999998,22.72666677,12.20999985,9.227272727,7.549999872999999,24.387500759999998,22.72666677,12.20999985,9.227272727,7.549999872999999,76.10143998000001,76.10143998000001,76.10143998000001
41,41200-38791:Ezekiel Elliott,41200-31716:Dak Prescott,41200-31001:Amari Cooper,41200-79974:Tarik Cohen,41200-6641:Jason Witten,60000,2686,24.387500759999998,22.72666677,14.25833384,7.549999872999999,6.983333588,24.387500759999998,22.72666677,14.25833384,7.549999872999999,6.983333588,24.387500759999998,22.72666677,14.25833384,7.549999872999999,6.983333588,75.90583483099999,75.90583483099999,75.90583483099999
42,41200-38791:Ezekiel Elliott,41200-31716:Dak Prescott,41200-31001:Amari Cooper,41200-69956:Michael Gallup,41200-30733:Cordarrelle Patterson,59500,2636,24.387500759999998,22.72666677,14.25833384,12.20999985,1.9727273419999998,24.387500759999998,22.72666677,14.25833384,12.20999985,1.9727273419999998,24.387500759999998,22.72666677,14.25833384,12.20999985,1.9727273419999998,75.555228562,75.555228562,75.555228562
43,41200-38791:Ezekiel Elliott,41200-31716:Dak Prescott,41200-31001:Amari Cooper,41200-14257:Randall Cobb,41200-104421:Jesper Horsted,58500,2676,24.387500759999998,22.72666677,14.25833384,9.227272727,4.599999905,24.387500759999998,22.72666677,14.25833384,9.227272727,4.599999905,24.387500759999998,22.72666677,14.25833384,9.227272727,4.599999905,75.19977400200001,75.19977400200001,75.19977400200001
44,41200-38791:Ezekiel Elliott,41200-31716:Dak Prescott,41200-69956:Michael Gallup,41200-27292:Brett Maher,41200-79974:Tarik Cohen,59500,3186,24.387500759999998,22.72666677,12.20999985,8.25,7.549999872999999,24.387500759999998,22.72666677,12.20999985,8.25,7.549999872999999,24.387500759999998,22.72666677,12.20999985,8.25,7.549999872999999,75.12416725300001,75.12416725300001,75.12416725300001
45,41200-38791:Ezekiel Elliott,41200-31716:Dak Prescott,41200-69956:Michael Gallup,41200-14257:Randall Cobb,41200-69307:Eddy Pineiro,59000,3211,24.387500759999998,22.72666677,12.20999985,9.227272727,6.0,24.387500759999998,22.72666677,12.20999985,9.227272727,6.0,24.387500759999998,22.72666677,12.20999985,9.227272727,6.0,74.551440107,74.551440107,74.551440107
46,41200-38791:Ezekiel Elliott,41200-31716:Dak Prescott,41200-73273:David Montgomery,41200-69956:Michael Gallup,41200-63759:Tony Pollard,59500,2811,24.387500759999998,22.72666677,10.18333308,12.20999985,5.036363775,24.387500759999998,22.72666677,10.18333308,12.20999985,5.036363775,24.387500759999998,22.72666677,10.18333308,12.20999985,5.036363775,74.543864235,74.543864235,74.543864235
47,41200-38791:Ezekiel Elliott,41200-31716:Dak Prescott,41200-73273:David Montgomery,41200-69956:Michael Gallup,41200-27527:Blake Jarwin,59000,2816,24.387500759999998,22.72666677,10.18333308,12.20999985,5.00909077,24.387500759999998,22.72666677,10.18333308,12.20999985,5.00909077,24.387500759999998,22.72666677,10.18333308,12.20999985,5.00909077,74.51659123,74.51659123,74.51659123
48,41200-38791:Ezekiel Elliott,41200-31716:Dak Prescott,41200-31001:Amari Cooper,41200-69307:Eddy Pineiro,41200-6641:Jason Witten,59500,2721,24.387500759999998,22.72666677,14.25833384,6.0,6.983333588,24.387500759999998,22.72666677,14.25833384,6.0,6.983333588,24.387500759999998,22.72666677,14.25833384,6.0,6.983333588,74.355834958,74.355834958,74.355834958
